sender,receiver,no_wagons,lat_sender,lon_sender,lat_receiver,lon_receiver,gzk_cluster,dnb_cluster,port_cluster,quarry
станція АВДІЇВКА,станція ЗАПОРІЖЖЯ-ЛІВЕ,11695,48.148889,37.733333,47.86944,35.1917334,no,yes,no,no
станція АВДІЇВКА,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,12979,48.148889,37.733333,47.20838,37.5633199,no,yes,no,no
станція АРОМАТНА,станція БУРШТИН,9372,48.628473,35.888025,49.217461,24.6477491,no,no,no,no
станція АРОМАТНА,станція ЕНЕРГОДАР,15967,48.628473,35.888025,47.494636,34.64672,no,no,no,no
станція АРОМАТНА,станція ЛАДИЖИН,11586,48.628473,35.888025,48.609462,29.1503679,no,no,no,no
станція БАЛИН,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,11960,48.90661,26.6346,46.322273,30.629317,no,no,yes,no
станція БАТУРИНСЬКА,станція ЖОВТОКАМ’ЯНКА,12317,47.872783,33.48381,47.782631,33.862061,yes,no,no,no
станція БАТУРИНСЬКА,станція ТРИТУЗНА,14519,47.872783,33.48381,48.524249,34.6005841,yes,no,no,no
станція БАТЬОВО (ЕКСП. МАВ),станція БАТЬОВО,7032,48.3616037,22.3862198,48.3616037,22.3862198,no,no,no,no
станція БЕРДЯНСЬК,станція ДРУЖКІВКА,23750,46.7510056,36.8036004,48.62486,37.548274,no,yes,no,no
станція БЕРДЯНСЬК,станція КОСТЯНТИНІВКА,7057,46.7510056,36.8036004,48.5119856,37.7296144,no,yes,no,no
станція БЕРЕГОВА,станція ГРЕКУВАТА,15084,46.632276,31.044189,48.096038,33.390483,yes,no,no,no
станція БЕРЕГОВА,станція ІНГУЛЕЦЬ,18846,46.632276,31.044189,47.679167,33.142778,yes,no,no,no
станція БЕРЕГОВА,станція КРИВИЙ РІГ,64472,46.632276,31.044189,47.880874,33.384342,yes,no,no,no
станція БЕРЕГОВА,станція КРИВИЙ РІГ-ГОЛОВНИЙ,7208,46.632276,31.044189,47.9123,33.451545,yes,no,no,no
станція БЕРЕГОВА,станція РОКУВАТА,11690,46.632276,31.044189,48.04391,33.478736,yes,no,no,no
станція БЕРЕГОВА,станція РЯДОВА,7670,46.632276,31.044189,48.229267,33.534595,yes,no,no,no
станція БЕРЕГОВА,станція ТЕРНИ,11867,46.632276,31.044189,48.178684,33.534576,yes,no,no,no
станція БЕРЕГОВА  (ЕКСП.),станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,11678,46.632276,31.044189,50.1397982,30.7534098,no,no,yes,no
станція БОГУСЛАВСЬКИЙ,станція РОЯ,9448,48.444444,36.026667,47.989332,37.306483,no,yes,no,no
станція ВЕЛИКО-АНАДОЛЬ,станція ДНІПРОРУДНЕ,11255,47.698172,37.486528,47.174629,34.962825,no,yes,no,no
станція ВЕЛИКО-АНАДОЛЬ,станція КАМ’ЯНСЬКЕ,13929,47.698172,37.486528,48.4974778,34.6042228,no,yes,no,no
станція ВЕСЕЛИЙ КУТ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,8628,47.1060754,29.9920901,46.322273,30.629317,no,no,no,no
станція ВЕЧІРНИЙ КУТ,станція УЖГОРОД (ЕКСП. ЖСР),13408,47.996036,33.4281881,48.6094982,22.3006874,no,no,no,no
станція ВЕЧІРНИЙ КУТ,станція ЧОП (ЕКСП. ЧД),12395,47.996036,33.4281881,48.432477,22.2055633,no,no,no,no
станція ВІННИЦЯ,станція ОДЕСА-ПОРТ  (ЕКСП.),9751,49.239428,28.5106651,46.485545,30.748833,no,no,yes,no
станція ВОЗНЕСЕНСЬК,станція ОДЕСА-ЗАСТАВА I,7306,47.573511,31.3238392,46.4776308,30.6545697,no,no,yes,no
станція ГРАНІТНИЙ,станція КИЇВ-ДЕМІЇВСЬКИЙ,17238,50.749028,29.347611,50.4047454,30.5370509,no,no,no,yes
станція ГРАНІТНИЙ,станція ПОЧАЙНА,11451,50.749028,29.347611,50.485104,30.500415,no,no,no,yes
станція ГРЕКУВАТА,станція БАТЬОВО (ЕКСП. МАВ),11804,48.096038,33.390483,48.3616037,22.3862198,yes,no,yes,no
станція ГРЕКУВАТА,станція БЕРЕГОВА  (ЕКСП.),7699,48.096038,33.390483,46.632276,31.044189,yes,no,no,no
станція ГРЕКУВАТА,станція ІЗОВ (ЕКСП. ПКП),29514,48.096038,33.390483,50.828474,24.059367,yes,no,no,no
станція ГРЕКУВАТА,станція МОСТИСЬКА II (ЕКСП. ПКП),9087,48.096038,33.390483,49.8166178,23.0325224,yes,no,no,no
станція ГРЕКУВАТА,станція РЕНІ (ЕКСП. ЧФР),16915,48.096038,33.390483,45.457968,28.265869,yes,no,no,no
станція ГРЕКУВАТА,станція УЖГОРОД (ЕКСП. ЖСР),18174,48.096038,33.390483,48.6094982,22.3006874,yes,no,no,no
станція ГРЕКУВАТА,станція ЧОП (ЕКСП. ЧД),9274,48.096038,33.390483,48.432477,22.2055633,yes,no,no,no
станція ГУМЕНЦІ,станція КИЇВ-ДЕМІЇВСЬКИЙ,10593,48.770473,26.606396,50.4047454,30.5370509,no,no,no,no
станція ДАРНИЦЯ,станція ГРАНІТНИЙ,9931,50.430674,30.643448,50.749028,29.347611,no,no,no,yes
станція ДАРНИЦЯ,станція ГУМЕНЦІ,13725,50.430674,30.643448,48.770473,26.606396,no,no,no,no
станція ДАРНИЦЯ,станція ЗДОЛБУНІВ,13539,50.430674,30.643448,50.5068585,26.26955,no,no,no,no
станція ДАРНИЦЯ,станція ЯМНИЦЯ,17886,50.430674,30.643448,48.9855201,24.7113369,no,no,no,no
станція ДНІПРОРУДНЕ,станція ДНІПРОРУДНЕ,10179,47.174629,34.962825,47.174629,34.962825,no,no,no,no
станція ДНІПРОРУДНЕ,станція ЗАПОРІЖЖЯ-ЛІВЕ,17179,47.174629,34.962825,47.86944,35.1917334,no,no,no,no
станція ДНІПРОРУДНЕ,станція ІЗОВ (ЕКСП. ПКП),16361,47.174629,34.962825,50.828474,24.059367,no,no,no,no
станція ДНІПРОРУДНЕ,станція МОСТИСЬКА II (ЕКСП. ПКП),7301,47.174629,34.962825,49.8166178,23.0325224,no,no,no,no
станція ДНІПРОРУДНЕ,станція МОСТИСЬКА II (ЕКСП. ЧД),14190,47.174629,34.962825,49.8166178,23.0325224,no,no,no,no
станція ДНІПРОРУДНЕ,станція ЧОП (ЕКСП. ЖСР),14774,47.174629,34.962825,48.432477,22.2055633,no,no,no,no
станція ДОБРОПІЛЛЯ,станція БУРШТИН,13475,48.4481566,37.0757679,49.217461,24.6477491,no,yes,no,no
станція ДОБРОПІЛЛЯ,станція ДОБРОПІЛЛЯ,18499,48.4481566,37.0757679,48.4481566,37.0757679,no,yes,no,no
станція ДОБРОПІЛЛЯ,станція ПОКРОВСЬК,7359,48.4481566,37.0757679,48.285102,37.1816185,no,yes,no,no
станція ДОБРОПІЛЛЯ,станція РОЯ,7541,48.4481566,37.0757679,47.989332,37.306483,no,yes,no,no
станція ДОБРОТВІР,станція СОСНІВКА,21639,50.20584,24.386969,50.2918113,24.263036,no,no,no,no
станція ДРОГОБИЧ,станція КАГАМЛИЦЬКА,21483,49.3551448,23.5434562,49.140833,33.461667,no,no,no,no
станція ДРУЖКІВКА,станція БЕРДЯНСЬК  (ЕКСП.),34889,48.62486,37.548274,46.7510056,36.8036004,no,yes,no,no
станція ЕНЕРГОДАР,станція ДНІПРОРУДНЕ,11703,47.494636,34.64672,47.174629,34.962825,no,no,no,no
станція ЄНАКІЄВЕ,станція КАРАКУБА,15550,48.2259,38.203245,47.667095,38.063419,no,yes,no,no
станція ЄНАКІЄВЕ,станція НИЖНЬОКРИНКА,9009,48.2259,38.203245,48.129516,38.208348,no,yes,no,no
станція ЖОВТНЕВА,станція ДРУЖКІВКА,13181,46.834899,31.967136,48.62486,37.548274,no,yes,no,no
станція ЖОВТНЕВА,станція МЕРЦАЛОВЕ,31569,46.834899,31.967136,48.422879,37.221904,no,yes,no,no
станція ЖОВТНЕВА,станція РОЖНЯТІВ,10221,46.834899,31.967136,48.998146,24.162632,no,no,no,no
станція ЖОВТОКАМ’ЯНКА,станція БАТУРИНСЬКА,15082,47.782631,33.862061,47.872783,33.48381,yes,no,no,no
станція ЗАПОРІЖЖЯ-КАМ’ЯНСЬКЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),7219,48.4808925,34.6462622,46.82775,30.76,no,no,yes,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ДНІПРОРУДНЕ,26346,47.86944,35.1917334,47.174629,34.962825,no,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ЗАПОРІЖЖЯ-ЛІВЕ,9465,47.86944,35.1917334,47.86944,35.1917334,no,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ІНГУЛЕЦЬ,13719,47.86944,35.1917334,47.679167,33.142778,yes,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція КРИВИЙ РІГ,16601,47.86944,35.1917334,47.880874,33.384342,yes,no,no,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція ОДЕСА-ПОРТ  (ЕКСП.),7720,47.86944,35.1917334,46.485545,30.748833,no,no,yes,no
станція ЗАПОРІЖЖЯ-ЛІВЕ,станція РЯДОВА,27674,47.86944,35.1917334,48.229267,33.534595,yes,no,no,no
станція ЗОЛОТНИШИНЕ,станція БАТЬОВО (ЕКСП. МАВ),34020,49.018889,33.644722,48.3616037,22.3862198,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ЗОЛОТНИШИНЕ,12714,49.018889,33.644722,49.018889,33.644722,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ІЗМАЇЛ  (ЕКСП.),7324,49.018889,33.644722,45.3600096,28.812532,no,no,yes,no
станція ЗОЛОТНИШИНЕ,станція УЖГОРОД (ЕКСП. ЖСР),11503,49.018889,33.644722,48.6094982,22.3006874,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЖСР),13152,49.018889,33.644722,48.432477,22.2055633,no,no,no,no
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЧД),13614,49.018889,33.644722,48.432477,22.2055633,no,no,no,no
станція ІЗМАЇЛ,станція ЗОЛОТНИШИНЕ,7615,45.3600096,28.812532,49.018889,33.644722,no,no,no,no
станція ІЗМАЇЛ,станція ЧОРНОМОРСЬК-ПОРТ,9445,45.3600096,28.812532,46.32227,30.62932,no,no,yes,no
станція ІЗОВ,станція КЛЕСІВ,7486,50.828474,24.059367,51.3118938,26.8919075,no,no,no,yes
станція ІЗОВ (ЕКСП. ПКП),станція КРИВИЙ РІГ,23753,50.828474,24.059367,47.880874,33.384342,yes,no,no,no
станція ІЗОВ (ЕКСП. ПКП),станція ТЕРНИ,7065,50.828474,24.059367,48.178684,33.534576,yes,no,no,no
станція ІНГУЛЕЦЬ,станція АСЛАНОВЕ,11710,47.679167,33.142778,47.245581,37.581294,yes,no,no,no
станція ІНГУЛЕЦЬ,станція БЕРЕГОВА  (ЕКСП.),14389,47.679167,33.142778,46.632276,31.044189,yes,no,yes,no
станція ІНГУЛЕЦЬ,станція ЗАПОРІЖЖЯ-ЛІВЕ,30113,47.679167,33.142778,47.86944,35.1917334,yes,no,no,no
станція ІНГУЛЕЦЬ,станція ІНГУЛЕЦЬ,12492,47.679167,33.142778,47.679167,33.142778,yes,no,no,no
станція ІНГУЛЕЦЬ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,17751,47.679167,33.142778,47.20838,37.5633199,yes,no,no,no
станція ІНГУЛЕЦЬ,станція УЖГОРОД (ЕКСП. ЖСР),14889,47.679167,33.142778,48.6094982,22.3006874,yes,no,no,no
станція ІНГУЛЕЦЬ,станція ЧОП (ЕКСП. ЧД),10139,47.679167,33.142778,48.432477,22.2055633,yes,no,no,no
станція ІЧНЯ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),7700,50.8423681,32.4079752,46.9575,31.975556,no,no,yes,no
станція КАГАМЛИЦЬКА,станція БОРИСПІЛЬ,14903,49.140833,33.461667,50.3766975,30.9448324,no,no,no,no
станція КАГАМЛИЦЬКА,станція БРОДИ,7808,49.140833,33.461667,50.074371,25.1408283,no,no,no,no
станція КАГАМЛИЦЬКА,станція КАГАМЛИЦЬКА,8126,49.140833,33.461667,49.140833,33.461667,no,no,no,no
станція КАГАМЛИЦЬКА,станція ОДЕСА-ПЕРЕСИП,14191,49.140833,33.461667,46.52502,30.726413,no,no,yes,no
станція КАЙДАЦЬКА,станція ОДЕСА-ПОРТ  (ЕКСП.),7948,48.481699,34.986165,46.485545,30.748833,no,no,yes,no
станція КАМ’ЯНСЬКЕ,станція РЯДОВА,20874,48.4974778,34.6042228,48.229267,33.534595,yes,no,no,no
станція КИЇВ-ВОЛИНСЬКИЙ,станція ДАРНИЦЯ,9187,50.4121955,30.4301124,50.430674,30.643448,no,no,no,no
станція КИЇВ-ДЕМІЇВСЬКИЙ,станція ДАРНИЦЯ,18778,50.4047454,30.5370509,50.430674,30.643448,no,no,no,no
станція КІНДРАТІВКА,станція ІНДУСТРІАЛЬНА,7913,48.578751,37.616899,49.962852,36.391769,no,yes,no,no
станція КЛЕСІВ,станція КЛЕСІВ,7767,51.3118938,26.8919075,51.3118938,26.8919075,no,no,no,yes
станція КЛЕСІВ,станція РЯСНА II,17526,51.3118938,26.8919075,49.8636374,23.9381062,no,no,no,yes
станція КОВЕЛЬ,станція ІЗОВ (ЕКСП. ПКП),8482,51.2213885,24.7123421,50.828474,24.059367,no,no,no,no
станція КОСТЯНТИНІВКА,станція ЖОВТНЕВА  (ЕКСП.),7111,48.5119856,37.7296144,46.834899,31.967136,no,yes,yes,no
станція КРЕМЕНЧУК,станція ІНДУСТРІАЛЬНА,7330,49.0678972,33.4277227,49.962852,36.391769,no,no,no,no
станція КРЕМЕНЧУК,станція ХАРКІВ-БАЛАШОВСЬКИЙ,9240,49.0678972,33.4277227,49.9740613,36.2767679,no,no,no,no
станція КРЕМЕНЧУК,станція ХАРКІВ-СОРТУВАЛЬНИЙ,11291,49.0678972,33.4277227,50.030735,36.177962,no,no,no,no
станція КРИВИЙ РІГ,станція БЕРЕГОВА  (ЕКСП.),159707,47.880874,33.384342,46.632276,31.044189,yes,no,yes,no
станція КРИВИЙ РІГ,станція ЄНАКІЄВЕ,7167,47.880874,33.384342,48.2259,38.203245,yes,yes,no,no
станція КРИВИЙ РІГ,станція ЗАПОРІЖЖЯ-ЛІВЕ,8142,47.880874,33.384342,47.86944,35.1917334,yes,no,no,no
станція КРИВИЙ РІГ,станція ІЗОВ (ЕКСП. ПКП),29590,47.880874,33.384342,50.828474,24.059367,yes,no,no,no
станція КРИВИЙ РІГ,станція КРИВИЙ РІГ,7204,47.880874,33.384342,47.880874,33.384342,yes,no,no,no
станція КРИВИЙ РІГ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),40411,47.880874,33.384342,46.9575,31.975556,yes,no,yes,no
станція КРИВИЙ РІГ,станція ОДЕСА-ПОРТ  (ЕКСП.),31657,47.880874,33.384342,46.485545,30.748833,yes,no,yes,no
станція КРИВИЙ РІГ,станція САРТАНА,11161,47.880874,33.384342,47.1536589,37.5740898,yes,no,no,no
станція КРИВИЙ РІГ,станція ЧОП (ЕКСП. ЧД),22102,47.880874,33.384342,48.432477,22.2055633,yes,no,no,no
станція КРИВИЙ РІГ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),59808,47.880874,33.384342,46.82775,30.76,yes,no,yes,no
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція ІЗОВ (ЕКСП. ПКП),8990,47.9123,33.451545,50.828474,24.059367,yes,no,no,no
станція КРИВИЙ ТОРЕЦЬ,станція ПОКРОВСЬК,7725,48.409766,37.78366,48.285102,37.1816185,no,yes,no,no
станція КУРДЮМІВКА,станція ЖОВТНЕВА  (ЕКСП.),16052,48.463619,37.959608,46.834899,31.967136,no,yes,yes,no
станція ЛИМАН,станція СІЛЬ,8161,48.9644789,37.8275288,48.7154131,38.0339345,no,yes,no,no
станція МАКІЇВКА,станція НОВИЙ СВІТ,7242,48.007681,37.9815461,47.803492,38.0067229,no,yes,no,no
станція МАРГАНЕЦЬ,станція НІКОПОЛЬ,8958,47.6544363,34.6198112,47.5853703,34.3913662,no,no,no,no
станція МАРІУПОЛЬ-ПОРТ,станція ПІВДЕННОДОНБАСЬКА,15270,47.062231,37.50663,47.751667,37.509722,no,yes,no,no
станція МАРІУПОЛЬ-ПОРТ,станція САРТАНА,14406,47.062231,37.50663,47.1536589,37.5740898,no,no,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція ВЕЛИКО-АНАДОЛЬ,15568,47.20838,37.5633199,47.698172,37.486528,no,yes,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція КРИВИЙ РІГ,7393,47.20838,37.5633199,47.880874,33.384342,yes,no,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція МАРІУПОЛЬ-ПОРТ  (ЕКСП.),7105,47.20838,37.5633199,47.062231,37.50663,no,no,no,no
